URL,Name,2026,2025,2024
https://www.timeshighereducation.com/world-university-rankings/purdue-university-west-lafayette,Purdue University West Lafayette,68.8,69.9,68.5
https://www.timeshighereducation.com/world-university-rankings/yonsei-university-seoul-campus,Yonsei University (Seoul campus),68.5,66.1,70.4
https://www.timeshighereducation.com/world-university-rankings/sungkyunkwan-university-skku,Sungkyunkwan University (SKKU),68.3,66.1,62.5
https://www.timeshighereducation.com/world-university-rankings/university-minnesota,University of Minnesota,67.5,67.8,68.7
https://www.timeshighereducation.com/world-university-rankings/humboldt-university-berlin,Humboldt University of Berlin,67.2,68,68.2
https://www.timeshighereducation.com/world-university-rankings/university-copenhagen,University of Copenhagen,67.1,66.6,66.3
https://www.timeshighereducation.com/world-university-rankings/charite-universitatsmedizin-berlin,Charité - Universitätsmedizin Berlin,66.9,67.1,67.2
https://www.timeshighereducation.com/world-university-rankings/rwth-aachen-university,RWTH Aachen University,66.7,67.2,68
https://www.timeshighereducation.com/world-university-rankings/university-bonn,University of Bonn,66.7,67.6,67.8
https://www.timeshighereducation.com/world-university-rankings/vanderbilt-university,Vanderbilt University,66.7,67.3,67.4
https://www.timeshighereducation.com/world-university-rankings/lund-university,Lund University,66.6,66.9,66.1
https://www.timeshighereducation.com/world-university-rankings/university-vienna,University of Vienna,66.6,65.5,65.2
https://www.timeshighereducation.com/world-university-rankings/university-california-irvine,"University of California, Irvine",66.4,67.3,67.4
https://www.timeshighereducation.com/world-university-rankings/kth-royal-institute-technology,KTH Royal Institute of Technology,66.3,66.9,66.9
https://www.timeshighereducation.com/world-university-rankings/university-birmingham,University of Birmingham,66.3,67.1,66.6
https://www.timeshighereducation.com/world-university-rankings/university-tubingen,University of Tübingen,66.3,66.2,67
https://www.timeshighereducation.com/world-university-rankings/aarhus-university,Aarhus University,66.2,65.5,65.9
https://www.timeshighereducation.com/world-university-rankings/emory-university,Emory University,65.9,66.3,66.1
https://www.timeshighereducation.com/world-university-rankings/rice-university,Rice University,65.8,65.4,65.2
https://www.timeshighereducation.com/world-university-rankings/tohoku-university,Tohoku University,65.8,65,N/A
https://www.timeshighereducation.com/world-university-rankings/michigan-state-university,Michigan State University,65.7,64.7,65.4
https://www.timeshighereducation.com/world-university-rankings/university-helsinki,University of Helsinki,65.7,65.6,65.1
