,Name,Arts and Humanities 2025,Business and Economics 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Geo,Industry,International Outlook,Law 2025,Life Sciences 2025,Medical and Health 2025,Overall,Physical Sciences 2025,Rank,Research Environment,Research Quality,Social Sciences 2025,Teaching,URL,World University Rankings 2026,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences,Female_share,Male_share,International students,No. of FTE students,No. of students per staff,country,town,Overall_num
560,Tehran University of Medical Sciences,301.0,,,,,"Tehran, Iran",84.2,42.7,,,,43.6–46.1,,501–600,27.7,56.8,,49.0,https://www.timeshighereducation.com/world-university-rankings/tehran-university-medical-sciences,501.0,,,,,,,Biological Sciences,Medicine and Dentistry,,,,55.0,45.0,0.16,12476.0,6.6,Iran,Tehran,43.6
561,The University of Tulsa,301.0,401.0,,,,"Tulsa, United States",58.8,60.7,,,,43.6–46.1,,501–600,17.5,70.6,,41.4,https://www.timeshighereducation.com/world-university-rankings/university-tulsa,501.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",49.0,51.0,0.14,3771.0,9.9,United States,Tulsa,43.6
562,TU Dortmund University,301.0,251.0,151.0,301.0,301.0,"Dortmund, Germany",71.5,56.5,201.0,,251.0,43.6–46.1,,501–600,35.3,57.0,,36.0,https://www.timeshighereducation.com/world-university-rankings/tu-dortmund-university,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Sport Science,,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",50.0,50.0,0.15,16305.0,44.7,Germany,Dortmund,43.6
563,UEH University,301.0,501.0,,,,"Ho Chi Minh City, Vietnam",50.1,53.6,,,,43.6–46.1,,501–600,21.8,92.1,,13.0,https://www.timeshighereducation.com/world-university-rankings/ueh-university,501.0,"Architecture, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,,Law,Agriculture and Forestry,,Mathematics and Statistics,,Communication and Media Studies,70.0,30.0,0.0,34586.0,33.8,Vietnam,Ho Chi Minh City,43.6
564,Université du Québec,176.0,401.0,201.0,251.0,251.0,"Quebec City, Canada",73.2,76.7,151.0,301.0,501.0,43.6–46.1,301.0,501–600,33.5,57.1,176.0,33.4,https://www.timeshighereducation.com/world-university-rankings/universite-du-quebec,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",58.0,42.0,0.17,50342.0,17.1,Canada,Quebec City,43.6
565,Universiti Putra Malaysia,401.0,176.0,501.0,301.0,301.0,"Selangor, Malaysia",57.1,82.5,501.0,501.0,601.0,43.6–46.1,401.0,501–600,31.6,51.7,,40.7,https://www.timeshighereducation.com/world-university-rankings/universiti-putra-malaysia,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",64.0,36.0,0.4,20358.0,12.8,Malaysia,Selangor,43.6
566,University of Bradford,201.0,601.0,301.0,501.0,301.0,"West Yorkshire, United Kingdom",58.5,93.3,,,251.0,43.6–46.1,,501–600,21.4,76.1,,21.4,https://www.timeshighereducation.com/world-university-rankings/university-bradford,501.0,"Archaeology, Architecture","Accounting and Finance, Business and Management",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",56.0,44.0,0.47,11775.0,22.0,United Kingdom,West Yorkshire,43.6
567,University of Catania,601.0,501.0,301.0,601.0,401.0,"CT, Italy",59.0,47.2,401.0,401.0,301.0,43.6–46.1,,501–600,22.0,78.7,,31.4,https://www.timeshighereducation.com/world-university-rankings/university-catania,501.0,"History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Politics and International Studies, Sociology",56.0,44.0,0.05,30470.0,20.0,Italy,CT,43.6
568,University of Denver,501.0,601.0,251.0,601.0,176.0,"Denver, United States",57.2,39.4,501.0,,201.0,43.6–46.1,,501–600,25.5,63.5,,40.2,https://www.timeshighereducation.com/world-university-rankings/university-denver,501.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",62.0,38.0,0.05,10234.0,13.3,United States,Denver,43.6
569,University of Ferrara,301.0,501.0,301.0,601.0,301.0,Italy,68.5,44.0,501.0,501.0,301.0,43.6–46.1,,501–600,26.8,70.3,,31.9,https://www.timeshighereducation.com/world-university-rankings/university-ferrara,501.0,"Archaeology, Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,Communication and Media Studies,63.0,37.0,0.05,23862.0,33.5,Italy,Italy,43.6
570,University of Graz,201.0,401.0,251.0,401.0,601.0,"Graz, Austria",51.0,81.2,201.0,401.0,151.0,43.6–46.1,,501–600,24.1,65.3,,32.3,https://www.timeshighereducation.com/world-university-rankings/university-graz,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,Chemical Engineering,Law,"Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Sociology",65.0,35.0,0.19,10958.0,10.8,Austria,Graz,43.6
571,University of Haifa,301.0,501.0,801.0,201.0,201.0,"Mount Carmel, Israel",65.0,34.6,401.0,1001.0,501.0,43.6–46.1,301.0,501–600,31.2,68.6,401.0,29.6,https://www.timeshighereducation.com/world-university-rankings/university-haifa,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,Law,Biological Sciences,Other Health,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",66.0,34.0,0.03,16297.0,17.5,Israel,Mount Carmel,43.6
572,University of Huddersfield,301.0,251.0,501.0,401.0,401.0,"Huddersfield, United Kingdom",51.3,89.3,201.0,401.0,501.0,43.6–46.1,401.0,501–600,23.9,73.9,,25.6,https://www.timeshighereducation.com/world-university-rankings/university-huddersfield,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Physics and Astronomy",Psychology,"Communication and Media Studies, Sociology",58.0,42.0,0.31,14200.0,19.9,United Kingdom,Huddersfield,43.6
573,University of Hull,401.0,301.0,301.0,401.0,151.0,"Hull, United Kingdom",57.5,87.8,401.0,301.0,401.0,43.6–46.1,401.0,501–600,23.8,72.9,401.0,27.3,https://www.timeshighereducation.com/world-university-rankings/university-hull,501.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",55.0,45.0,0.35,13250.0,18.4,United Kingdom,Hull,43.6
574,University of Iceland,301.0,601.0,401.0,401.0,251.0,"Reykjavík, Iceland",83.1,55.2,401.0,401.0,401.0,43.6–46.1,401.0,501–600,35.3,69.3,,24.6,https://www.timeshighereducation.com/world-university-rankings/university-iceland,501.0,"Archaeology, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",69.0,31.0,0.13,9343.0,16.0,Iceland,Reykjavík,43.6
575,University of International Business and Economics,301.0,401.0,,,,"Beijing, China",31.5,54.0,,,,43.6–46.1,,501–600,19.0,87.3,,29.2,https://www.timeshighereducation.com/world-university-rankings/university-international-business-and-economics,501.0,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",,Education,,Law,Sport Science,,Mathematics and Statistics,,"Communication and Media Studies, Politics and International Studies, Sociology",73.0,27.0,0.12,15343.0,14.2,China,Beijing,43.6
576,University of KwaZulu-Natal,401.0,601.0,501.0,301.0,601.0,"Westville, South Africa",49.1,54.9,301.0,401.0,301.0,43.6–46.1,501.0,501–600,37.9,61.5,401.0,31.4,https://www.timeshighereducation.com/world-university-rankings/university-kwazulu-natal,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",62.0,38.0,0.02,33675.0,30.7,South Africa,Westville,43.6
577,University of Limerick,301.0,501.0,601.0,176.0,401.0,Ireland,73.1,75.0,301.0,501.0,401.0,43.6–46.1,176.0,501–600,34.6,61.7,251.0,28.6,https://www.timeshighereducation.com/world-university-rankings/university-limerick,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",52.0,48.0,0.18,14691.0,27.1,Ireland,Ireland,43.6
578,University of Manitoba,601.0,501.0,301.0,501.0,401.0,"Winnipeg, Canada",61.4,60.4,501.0,501.0,201.0,43.6–46.1,,501–600,25.1,72.9,,29.5,https://www.timeshighereducation.com/world-university-rankings/university-manitoba,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Politics and International Studies, Sociology",54.0,46.0,0.24,26170.0,13.7,Canada,Winnipeg,43.6
579,University of Messina,501.0,301.0,401.0,401.0,401.0,"ME, Italy",64.3,36.6,501.0,401.0,301.0,43.6–46.1,401.0,501–600,28.1,71.8,,35.6,https://www.timeshighereducation.com/world-university-rankings/university-messina,501.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",63.0,37.0,0.06,14308.0,22.7,Italy,ME,43.6
580,University of Missouri-Kansas City,,,,,,"Kansas City, United States",64.3,45.5,,,,43.6–46.1,,501–600,24.4,75.2,,30.3,https://www.timeshighereducation.com/world-university-rankings/university-missouri-kansas-city,501.0,"Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",58.0,42.0,0.13,9605.0,12.3,United States,Kansas City,43.6
581,University of Modena and Reggio Emilia,401.0,601.0,401.0,601.0,401.0,"MO, Italy",77.9,38.9,601.0,401.0,301.0,43.6–46.1,501.0,501–600,25.7,72.9,,34.7,https://www.timeshighereducation.com/world-university-rankings/university-modena-and-reggio-emilia,501.0,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Sociology",54.0,46.0,0.04,18479.0,18.9,Italy,MO,43.6
582,University of Nebraska-Lincoln,501.0,501.0,301.0,251.0,201.0,"Lincoln, United States",68.6,59.7,176.0,301.0,501.0,43.6–46.1,251.0,501–600,31.4,63.9,201.0,33.1,https://www.timeshighereducation.com/world-university-rankings/university-nebraska-lincoln,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",50.0,50.0,0.07,23880.0,16.7,United States,Lincoln,43.6
583,University of Nebraska Medical Center,301.0,401.0,,,,"Omaha, United States",67.3,40.8,,,,43.6–46.1,,501–600,17.3,79.4,,38.5,https://www.timeshighereducation.com/world-university-rankings/university-nebraska-medical-center,501.0,,Business and Management,,Education,,,Biological Sciences,"Medicine and Dentistry, Other Health",,Psychology,Politics and International Studies,71.0,29.0,0.08,3390.0,1.9,United States,Omaha,43.6
584,University of Nicosia,176.0,501.0,301.0,401.0,,"Nicosia, Cyprus",51.7,90.2,,,201.0,43.6–46.1,,501–600,24.1,81.3,,19.3,https://www.timeshighereducation.com/world-university-rankings/university-nicosia,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health",,Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",56.0,44.0,0.65,6398.0,17.2,Cyprus,Nicosia,43.6
585,University of Palermo,401.0,501.0,501.0,601.0,251.0,Italy,54.7,37.0,501.0,501.0,301.0,43.6–46.1,401.0,501–600,30.5,66.7,,33.3,https://www.timeshighereducation.com/world-university-rankings/university-palermo,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies",58.0,42.0,0.02,28637.0,32.9,Italy,Italy,43.6
586,University of Plymouth,501.0,251.0,401.0,301.0,301.0,"Devon, United Kingdom",65.8,82.2,126.0,301.0,501.0,43.6–46.1,301.0,501–600,21.2,77.9,401.0,23.0,https://www.timeshighereducation.com/world-university-rankings/university-plymouth,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",61.0,39.0,0.22,16895.0,17.8,United Kingdom,Devon,43.6
587,University of Pretoria,301.0,301.0,601.0,301.0,601.0,"Pretoria, South Africa",61.1,65.2,101.0,301.0,501.0,43.6–46.1,601.0,501–600,34.7,57.5,401.0,32.3,https://www.timeshighereducation.com/world-university-rankings/university-pretoria,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",61.0,39.0,0.07,34827.0,18.4,South Africa,Pretoria,43.6
588,University of Salerno,501.0,501.0,401.0,501.0,301.0,Italy,63.1,36.9,301.0,501.0,301.0,43.6–46.1,401.0,501–600,30.2,72.7,,30.6,https://www.timeshighereducation.com/world-university-rankings/university-salerno,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",57.0,43.0,0.04,20506.0,25.6,Italy,Italy,43.6
589,University of Siegen,501.0,301.0,401.0,401.0,,Germany,63.6,60.0,,,301.0,43.6–46.1,,501–600,36.7,63.6,,30.4,https://www.timeshighereducation.com/world-university-rankings/university-siegen,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",,Biological Sciences,Other Health,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",57.0,43.0,0.14,9590.0,26.1,Germany,Germany,43.6
590,University of Stirling,251.0,401.0,251.0,251.0,301.0,"Stirling, United Kingdom",45.6,91.1,251.0,301.0,401.0,43.6–46.1,,501–600,26.3,74.6,,24.4,https://www.timeshighereducation.com/world-university-rankings/university-stirling,501.0,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,General Engineering,Law,"Biological Sciences, Sport Science",Other Health,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",59.0,41.0,0.34,11725.0,18.9,United Kingdom,Stirling,43.6
591,University of the Sunshine Coast,501.0,401.0,401.0,601.0,401.0,"Sippy Downs, Australia",64.5,68.0,501.0,401.0,401.0,43.6–46.1,,501–600,29.5,72.2,,21.9,https://www.timeshighereducation.com/world-university-rankings/university-sunshine-coast,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",70.0,30.0,0.15,11020.0,27.0,Australia,Sippy Downs,43.6
592,University of Toulouse,251.0,63.0,401.0,251.0,501.0,"Toulouse, France",71.0,67.7,251.0,251.0,301.0,43.6–46.1,201.0,501–600,30.7,62.9,401.0,32.5,https://www.timeshighereducation.com/world-university-rankings/university-toulouse,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",57.0,43.0,0.16,110552.0,22.0,France,Toulouse,43.6
593,University of Trieste,501.0,801.0,601.0,401.0,301.0,"Trieste, Italy",57.6,50.9,401.0,,301.0,43.6–46.1,,501–600,27.7,72.4,,34.3,https://www.timeshighereducation.com/world-university-rankings/university-trieste,501.0,"Archaeology, Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",58.0,42.0,0.08,18016.0,24.3,Italy,Trieste,43.6
594,University of Ulsan,301.0,501.0,,,,South Korea,92.9,24.0,,,601.0,43.6–46.1,,501–600,27.6,75.8,,30.6,https://www.timeshighereducation.com/world-university-rankings/university-ulsan,501.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",45.0,55.0,0.02,11778.0,10.7,South Korea,South Korea,43.6
595,University of Valencia,251.0,401.0,601.0,301.0,601.0,Spain,68.5,52.6,126.0,401.0,401.0,43.6–46.1,301.0,501–600,27.7,70.9,301.0,31.8,https://www.timeshighereducation.com/world-university-rankings/university-valencia,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Electrical and Electronic Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",64.0,36.0,0.14,48963.0,13.1,Spain,Spain,43.6
596,University of Windsor,501.0,301.0,401.0,301.0,601.0,"ON, Canada",68.2,87.9,601.0,301.0,301.0,43.6–46.1,501.0,501–600,31.4,60.5,,30.4,https://www.timeshighereducation.com/world-university-rankings/university-windsor,501.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",,,0.36,14932.0,35.1,Canada,ON,43.6
