,Name,Arts and Humanities 2025,Business and Economics 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Geo,Industry,International Outlook,Law 2025,Life Sciences 2025,Medical and Health 2025,Overall,Physical Sciences 2025,Rank,Research Environment,Research Quality,Social Sciences 2025,Teaching,URL,World University Rankings 2026,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences,Female_share,Male_share,International students,No. of FTE students,No. of students per staff,country,town,Overall_num
1347,Sathyabama Institute of Science and Technology,601.0,801.0,801.0,601.0,,"Chennai, India",24.0,27.8,,,801.0,27.3–32.0,,1201–1500,10.7,48.6,,30.9,https://www.timeshighereducation.com/world-university-rankings/sathyabama-institute-science-and-technology,1201.0,"Architecture, Art, Performing Art and Design","Accounting and Finance, Business and Management",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,Communication and Media Studies,49.0,51.0,0.04,17560.0,12.5,India,Chennai,27.3
1348,Saudi Electronic University,801.0,,,,,"Riyadh, Saudi Arabia",19.1,75.8,,,,27.3–32.0,,1201–1500,9.6,65.4,,10.6,https://www.timeshighereducation.com/world-university-rankings/saudi-electronic-university,1201.0,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,,Law,,Other Health,,,Communication and Media Studies,46.0,54.0,0.08,32325.0,36.4,Saudi Arabia,Riyadh,27.3
1349,Sefako Makgatho Health Sciences University,1001.0,,,,,"Ga Rankuwa, South Africa",19.2,50.0,,,,27.3–32.0,,1201–1500,11.1,42.7,,26.0,https://www.timeshighereducation.com/world-university-rankings/sefako-makgatho-health-sciences-university,1201.0,,,Computer Science,,,,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",Psychology,,65.0,35.0,0.02,5570.0,7.1,South Africa,Ga Rankuwa,27.3
1350,Seoul National University of Science and Technology (SeoulTech),601.0,801.0,601.0,,,"Seoul, South Korea",52.6,34.2,,,1001.0,27.3–32.0,,1201–1500,21.7,35.1,,30.3,https://www.timeshighereducation.com/world-university-rankings/seoul-national-university-science-and-technology-seoultech,1201.0,"Architecture, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences",,"Communication and Media Studies, Politics and International Studies",38.0,62.0,0.13,8106.0,11.8,South Korea,Seoul,27.3
1351,Shahid Bahonar University of Kerman,601.0,801.0,801.0,,,"Kerman, Iran",32.4,30.0,,,801.0,27.3–32.0,,1201–1500,13.8,50.4,,19.1,https://www.timeshighereducation.com/world-university-rankings/shahid-bahonar-university-kerman,1201.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",60.0,40.0,0.02,13683.0,22.7,Iran,Kerman,27.3
1352,Shahid Chamran University of Ahvaz,,,,,,,47.5,28.6,,,,27.3–32.0,,1201–1500,11.0,42.0,,29.4,https://www.timeshighereducation.com/world-university-rankings/shahid-chamran-university-ahvaz,,,,,,,,,,,,,57.0,43.0,0.02,13351.0,22.4,nan,nan,27.3
1353,Shahrekord University,601.0,801.0,,,,"Shahrekord, Iran",20.5,27.7,,,601.0,27.3–32.0,,1201–1500,13.4,48.8,,24.0,https://www.timeshighereducation.com/world-university-rankings/shahrekord-university,1201.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics",,Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,Politics and International Studies,53.0,47.0,0.04,7567.0,20.1,Iran,Shahrekord,27.3
1354,Shahrood University of Technology,601.0,801.0,,,,"Shahrood, Iran",28.2,41.8,,,801.0,27.3–32.0,,1201–1500,15.5,47.1,,29.0,https://www.timeshighereducation.com/world-university-rankings/shahrood-university-technology,1201.0,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Sport Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,,46.0,54.0,0.05,9421.0,21.8,Iran,Shahrood,27.3
1355,Shiga University of Medical Science,801.0,,,,,"Shiga, Japan",65.4,25.3,,,,27.3–32.0,,1201–1500,13.3,34.2,,32.7,https://www.timeshighereducation.com/world-university-rankings/shiga-university-medical-science,1201.0,,,,,,,,"Medicine and Dentistry, Other Health",,,,52.0,48.0,0.04,1136.0,3.0,Japan,Shiga,27.3
1356,Shinshu University,801.0,801.0,801.0,,,"Matsumoto-shi, Japan",66.8,31.9,,,801.0,27.3–32.0,,1201–1500,18.4,32.5,,26.7,https://www.timeshighereducation.com/world-university-rankings/shinshu-university,1201.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,,33.0,67.0,0.03,10657.0,10.6,Japan,Matsumoto-shi,27.3
1357,"Shivaji University, Kolhapur",,,,,,"Kolhapur, India",29.7,21.5,,,,27.3–32.0,,1201–1500,16.6,45.5,,34.9,https://www.timeshighereducation.com/world-university-rankings/shivaji-university-kolhapur,1201.0,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",43.0,57.0,0.0,6263.0,15.4,India,Kolhapur,27.3
