0,1,2,3,4,5,6,7,8
66,"Wageningen University & Research
Netherlands",72.2,58.6,58.4,90.4,99.5,91.6,https://www.timeshighereducation.com/world-university-rankings/wageningen-university-research
67,"Washington University in St Louis
United States",72.0,60.8,56.2,97.5,74.5,73.8,https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis
=68,"Institut Polytechnique de Paris
France",71.6,71.8,62.4,70.9,99.1,95.1,https://www.timeshighereducation.com/world-university-rankings/institut-polytechnique-de-paris
=68,"Université Paris-Saclay
France",71.6,67.9,62.2,80.6,92.4,76.0,https://www.timeshighereducation.com/world-university-rankings/universite-paris-saclay
=70,"Korea Advanced Institute of Science and Technology (KAIST)
South Korea",71.3,66.7,67.5,82.4,100.0,44.2,https://www.timeshighereducation.com/world-university-rankings/korea-advanced-institute-science-and-technology-kaist
=70,"Leiden University
Netherlands",71.3,49.3,63.3,93.6,99.1,85.2,https://www.timeshighereducation.com/world-university-rankings/leiden-university
72,"University of California, Santa Barbara
United States",71.2,50.3,63.2,94.5,92.7,80.2,https://www.timeshighereducation.com/world-university-rankings/university-california-santa-barbara
=73,"Australian National University
Australia",71.1,56.7,62.6,85.7,86.3,94.2,https://www.timeshighereducation.com/world-university-rankings/australian-national-university
73,"City University of Hong Kong
Hong Kong",71.1,56.5,52.7,92.7,100.0,98.4,https://www.timeshighereducation.com/world-university-rankings/city-university-hong-kong
=73,"University of Southern California
United States",71.1,59.8,59.6,92.7,74.9,71.5,https://www.timeshighereducation.com/world-university-rankings/university-southern-california
=76,"Boston University
United States",70.4,61.2,56.5,91.8,72.4,73.2,https://www.timeshighereducation.com/world-university-rankings/boston-university
=76,"Sorbonne University
France",70.4,67.6,59.2,81.6,73.1,78.4,https://www.timeshighereducation.com/world-university-rankings/sorbonne-university
78,"University of North Carolina at Chapel Hill
United States",70.3,63.8,59.6,91.3,75.9,49.9,https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-chapel-hill
79,"UNSW Sydney
Australia",70.0,50.2,57.7,91.9,96.7,93.7,https://www.timeshighereducation.com/world-university-rankings/unsw-sydney
80,"The Hong Kong Polytechnic University
Hong Kong",69.7,51.9,55.4,91.8,86.5,97.3,https://www.timeshighereducation.com/world-university-rankings/hong-kong-polytechnic-university
=80,"The University of Queensland
Australia",69.7,50.9,60.9,87.6,97.6,91.2,https://www.timeshighereducation.com/world-university-rankings/university-queensland
=80,"University of Bristol
United Kingdom",69.7,51.4,56.5,94.4,74.6,91.8,https://www.timeshighereducation.com/world-university-rankings/university-bristol
