0,1,2,3,4,5,6,7
153,"The University of Western Australia
Australia",61.7,38.7,45.1,87.6,98.4,93.4
=154,"Radboud University Nijmegen
Netherlands",61.5,38.5,49.7,89.3,82.1,75.9
=156,"Korea University
South Korea",61.4,52.4,51.3,73.3,99.9,67.8
159,"University of Colorado Boulder
United States",61.3,47.5,51.6,84.1,77.3,53.6
=160,"Southern University of Science and Technology (SUSTech)
China",61.0,39.6,44.2,93.9,88.5,63.3
=162,"University of St Andrews
United Kingdom",60.9,50.6,43.3,78.2,71.9,94.4
=164,"University of Cape Town
South Africa",60.8,39.4,46.7,87.8,84.8,77.9
166,"Institute of Science Tokyo
Japan",60.7,66.9,60.5,52.7,92.1,52.2
=166,"Karlsruhe Institute of Technology
Germany",60.7,49.3,54.9,69.3,100.0,73.1
=170,"Sapienza University of Rome
Italy",60.6,55.9,53.5,73.4,85.2,42.9
173,"Trinity College Dublin
Ireland",60.5,42.8,44.9,83.2,76.2,91.2
174,"TU Dresden
Germany",60.4,47.1,50.0,77.0,99.9,66.1
175,"Durham University
United Kingdom",60.3,45.2,44.9,81.0,62.8,94.6
=176,"Huazhong University of Science and Technology
China",60.2,46.6,48.4,87.1,99.9,30.9
179,"University of Würzburg
Germany",60.1,39.6,43.5,91.2,99.8,59.9
180,"Dartmouth College
United States",60.0,56.3,38.5,81.8,72.8,63.8
=181,"Medical University of Vienna
Austria",59.9,36.3,36.8,94.2,99.9,83.2
183,"Universitat Autònoma de Barcelona (UAB)
Spain",59.8,44.9,44.8,84.6,73.3,69.5
=184,"King Fahd University of Petroleum and Minerals
Saudi Arabia",59.7,36.3,43.2,85.7,94.4,92.9
=187,"Pompeu Fabra University
Spain",59.5,36.6,45.3,87.5,81.6,80.1
189,"Tufts University
United States",59.4,51.3,34.7,88.2,76.6,61.9
=190,"Université Paris Cité
France",59.3,44.4,38.0,89.9,68.0,73.1
=192,"Eindhoven University of Technology
Netherlands",59.2,47.7,49.5,67.0,100.0,88.6
194,"University of Notre Dame
United States",59.1,52.8,45.8,73.5,72.5,69.9
=195,"Aalto University
Finland",59.0,44.3,43.4,78.9,91.0,80.7
=198,"Indiana University
United States",58.8,47.1,36.9,87.3,85.3,62.4
200,"University of Calgary
Canada",58.7,37.8,43.1,83.6,91.4,83.3
201–250,"Abu Dhabi University
United Arab Emirates",56.4–58.6,38.0,33.9,92.0,29.5,98.0
251–300,"Aalborg University
Denmark",54.3–56.3,33.6,44.9,80.6,88.0,72.4
301–350,"Bauman Moscow State Technical University
Russian Federation",51.6–54.2,68.4,42.8,43.0,54.4,59.6
351–400,"Amirkabir University of Technology
Iran",49.9–51.5,37.1,33.0,75.3,91.9,46.6
401–500,"Ajman University
United Arab Emirates",46.2–49.8,25.8,28.7,84.0,22.8,99.5
501–600,"Alfaisal University
Saudi Arabia",43.6–46.1,24.2,19.5,73.7,50.4,97.2
601–800,"Aberystwyth University
United Kingdom",39.0–43.5,26.9,22.2,61.9,62.1,83.1
801–1000,"Abdullah Gül University
Turkey",35.5–38.9,22.2,27.2,54.9,56.9,49.8
1001–1200,"Adam Mickiewicz University, Poznań
Poland",32.1–35.4,20.6,30.7,46.8,37.3,38.2
1201–1500,"Adolfo Ibáñez University
Chile",27.3–32.0,15.6,17.4,44.3,22.7,62.5
1501+,"Abdelmalek Essaâdi University
Morocco",10.3–27.2,22.9,11.1,43.1,20.7,29.0
Reporter,"Abai Kazakh National Pedagogical University
Kazakhstan",n/a,n/a,n/a,n/a,n/a,n/a
